"conlang","english","etymology_in_conlang"
"אָאקוֹזִי","sick","אַלְגוֹנְקְוִינִי. גּוּף-לֹא-טוֹב."
"מִינוֹ־אַאיָא","healthy","אַלְגוֹנְקְוִינִי. גּוּף-בְּמַצָּב-טוֹב."
"נַאמַאדַאבִּי","to sit","אַלְגוֹנְקְוִינִי. גּוּף-בְּמְנוּחָה-יוֹשֵׁב."
"נִיבָּאוִי","to stand","אַלְגוֹנְקְוִינִי. גּוּף-זָקוּף."
"זְ׳ינְגִישִׁין","to lie down","אַלְגוֹנְקְוִינִי. גּוּף-אוֹפָקִי-נָח."
"בִּימִיבַּאטוֹ","to run","אַלְגוֹנְקְוִינִי. גּוּף-זָז-מַהֵר."
"גְוָאשְׁקְוַאנִי","to jump","אַלְגוֹנְקְוִינִי. גּוּף-עוֹזֵב-אֲדָמָה."
"בָּאגִיזוֹ","to swim","אַלְגוֹנְקְוִינִי. גּוּף-זָז-בְּמַיִם."
"אוֹמְבִּיגִיזִי","to fly","אַלְגוֹנְקְוִינִי. גּוּף-זָז-בָּאֲוִיר."
"אַקְוַאנְדַאוֵא","to climb","אַלְגוֹנְקְוִינִי. גּוּף-הוֹלֵךְ-לְמַעְלָה."
"פַּאנְגִישִׁין","to fall","אַלְגוֹנְקְוִינִי. גּוּף-הוֹלֵךְ-לְמַטָּה-פִּתְאוֹם."
"אוֹמְבִּיקַאנָאן","to push","אַלְגוֹנְקְוִינִי. לְהָזִיז-דָּבָר-הַרְחֵק."
"וִיקוֹבִּינָאן","to pull","אַלְגוֹנְקְוִינִי. לְהָזִיז-דָּבָר-לְכָאן."
"אַפַּאגִידוֹן","to throw","אַלְגוֹנְקְוִינִי. לִשְׁלֹחַ-דָּבָר-בָּאֲוִיר."
"טַאקוֹנָאן","to catch","אַלְגוֹנְקְוִינִי. לְקַבֵּל-דָּבָר-מֵהָאֲוִיר."
"בָּאקַאקוֹנָאן","to open","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-שֶׁמַּעֲבָר-יִהְיֶה."
"גִיבַּאקַאהוֹנָאן","to close","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-שֶׁמַּעֲבָר-לֹא-יִהְיֶה."
"פִּינְדִיגֵא","to enter","אַלְגוֹנְקְוִינִי. גּוּף-נִכְנָס."
"זָאגַאהַאם","to exit","אַלְגוֹנְקְוִינִי. גּוּף-יוֹצֵא."
"בִּי־אִיזְ׳אָא","to come","אַלְגוֹנְקְוִינִי. לָזוּז-לְכָאן."
"אִיזְ׳אָא","to go","אַלְגוֹנְקְוִינִי. לָזוּז-לְשָׁם."
"גִיוֵא","to return","אַלְגוֹנְקְוִינִי. לָזוּז-חֲזָרָה-הַבַּיְתָה."
"בִּידוֹן","to bring","אַלְגוֹנְקְוִינִי. לִשְׂאֵת-לְכָאן."
"אוֹדַאפִּינָאן","to take","אַלְגוֹנְקְוִינִי. לִתְפֹּס-וְלִקַּחַת."
"אַאטוֹן","to put, place","אַלְגוֹנְקְוִינִי. לָשִׂים-דָּבָר-לְמַטָּה."
"גַאנַאוֶנְדַאן","to hold","אַלְגוֹנְקְוִינִי. לִשְׁמֹר-בַּיָּד."
"טַאנְגִינָאן","to touch","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-מַגָּע."
"בַּאקִיטֵאוָאן","to hit, strike","אַלְגוֹנְקְוִינִי. לְהַשְׁפִּיעַ-בְּכֹחַ."
"אִיקִידוֹ","to say, speak","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-מִלִּים."
"דִיבָּאג׳ימוֹ","to tell, narrate","אַלְגוֹנְקְוִינִי. לְשַׁתֵּף-סִפּוּר."
"גַאגְוֵא","to ask","אַלְגוֹנְקְוִינִי. לְבַקֵּשׁ-תְּשׁוּבָה."
"נַאקְוֵאטַאם","to answer","אַלְגוֹנְקְוִינִי. לָתֵת-תְּגוּבָה."
"אִיזְ׳ינִיקָאזוֹ","to call, name","אַלְגוֹנְקְוִינִי. לְהִקָּרֵא-מַשֶּׁהוּ."
"בִּיבָּאגִי","to shout, yell","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-קוֹל-חָזָק."
"פֵּיפָּאגִי","to whisper","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-קוֹל-רַךְ."
"נַאגַאמוֹ","to sing","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-קוֹל-שִׁיר."
"בִּיזִינְדַאם","to listen","אַלְגוֹנְקְוִינִי. לִשְׁמֹעַ-בִּפְעִילוּת."
"נִיסִיטַאוֵאנְדַאן","to understand","אַלְגוֹנְקְוִינִי. לִתְפֹּס-מַשְׁמָעוּת."
"גִיכֶנְדַאן","to know (a fact)","אַלְגוֹנְקְוִינִי. לְהַחֲזִיק-יְדִיעָה."
"גִיכְאָא","to know (a person)","אַלְגוֹנְקְוִינִי. לְהַכִּיר-מִישֶׁהוּ."
"אִינֶנְדַאם","to think","אַלְגוֹנְקְוִינִי. שֵׂכֶל-עוֹבֵד."
"דֶבְוֵאיֶנְדַאם","to believe","אַלְגוֹנְקְוִינִי. לְקַבֵּל-כְּאֱמֶת."
"נַאנְדַאוֶנְדַאן","to want, desire","אַלְגוֹנְקְוִינִי. שֵׂכֶל-נִמְשָׁךְ-אֶל."
"גוֹג׳יטוֹן","to try, attempt","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-מַאֲמָץ."
"וִידוֹכַאוָא","to help","אַלְגוֹנְקְוִינִי. לִפְעֹל-עִם-אַחֵר."
"בִּיהָא","to wait","אַלְגוֹנְקְוִינִי. לְהִשָּׁאֵר-עַד."
"מִיכַאן","to find","אַלְגוֹנְקְוִינִי. לָבוֹא-עַל."
"וַאנִיטוֹן","to lose","אַלְגוֹנְקְוִינִי. לֹא-לְהַחֲזִיק-עוֹד."
"נַאנְדַאוָאבַאנְדַאן","to look for, seek","אַלְגוֹנְקְוִינִי. לְחַפֵּשׂ-בִּפְעִילוּת-בְּעֵינַיִם."
"קָאזוֹ","to hide","אַלְגוֹנְקְוִינִי. לַעֲשׂוֹת-עַצְמְךָ-לֹא-נִרְאֶה."
"וָאבַּאנְדַאהִיוֵא","to show","אַלְגוֹנְקְוִינִי. לִגְרֹם-לִרְאוֹת."
"גִיגִיזְ׳ֶב","morning","אַלְגוֹנְקְוִינִי. זְמַן-הַתְחָלַת-יוֹם."
"נָאוַאקְוֵא","afternoon","אַלְגוֹנְקְוִינִי. זְמַן-אֶמְצַע-יוֹם."
"אוֹנָאגוֹשׁ","evening","אַלְגוֹנְקְוִינִי. זְמַן-סִיּוּם-יוֹם."
"דִיבִּיקַאד","night","אַלְגוֹנְקְוִינִי. זְמַן-חֹשֶׁךְ."
"בִּיג׳ינָאגוֹ","yesterday","אַלְגוֹנְקְוִינִי. יוֹם-אֶחָד-אָחוֹרָה."
"אַוַאסוֹ־בִּיג׳ינָאגוֹ","day before yesterday","אַלְגוֹנְקְוִינִי. שְׁנֵי-יָמִים-אָחוֹרָה."
"אַנַאמִיאֵא־גִיזְ׳יגַאד","week","צֵרוּף אַלְגוֹנְקְוִינִי: תְּקוּפַת-יוֹם-תְּפִלָּה (שַׁבָּת). שָׁבוּעַ נִסְפָּר בְּשַׁבָּתוֹת."
"בִּיבוֹן","year","אַלְגוֹנְקְוִינִי. גַּם פֵּירוּשׁוֹ 'חֹרֶף'—שָׁנִים נִסְפָּרוֹת בְּחֳרָפִים שֶׁעָבְרוּ."
"מֵאָה / מִידָאסְוִי־בִּיבוֹנַאן","century","עִבְרִית מֵאָה לְמֻפְשָׁט; אַלְגוֹנְקְוִינִי 'עֶשֶׂר-חֳרָפִים כָּפוּל עֶשֶׂר' לְחֶשְׁבּוֹן קוֹנְקְרֵטִי."
"דּוֹר","generation","עִבְרִית. מֻשָּׂג מֻפְשָׁט שֶׁל רֶצֶף אָדָם."
"לְעוֹלָם / קָאקִיגֵא","forever","עִבְרִית לְעוֹלָם לְנִצְחִיּוּת תֵּאוֹלוֹגִית; אַלְגוֹנְקְוִינִי קָאקִיגֵא לְ'תָּמִיד, בְּלִי סוֹף.'"
"רֵאשִׁית / מָאג׳ִיסֵאג","beginning","עִבְרִית רֵאשִׁית לְהַתְחָלָה תֵּאוֹלוֹגִית (בְּרֵאשִׁית); אַלְגוֹנְקְוִינִי מָאג׳ִיסֵאג לְהַתְחָלָה פִיזִית."
"סוֹף / אִישְׁקְוָא","end","עִבְרִית סוֹף לְסוֹף מֻפְשָׁט; אַלְגוֹנְקְוִינִי אִישְׁקְוָא לִהַשְׁלָמָה פִיזִית."
"יוֹם הֻלֶּדֶת","birthday","צֵרוּף עִבְרִי: יוֹם שֶׁל הִוָּלְדוּת. אוֹצַר מִלִּים שֶׁל מַחֲזוֹרֵי חַיִּים."
"חֲתֻנָּה","wedding","עִבְרִית. אוֹצַר מִלִּים שֶׁל מַחֲזוֹרֵי חַיִּים."
"לְוָיָה","funeral","עִבְרִית. אוֹצַר מִלִּים שֶׁל מַחֲזוֹרֵי חַיִּים."
"בַּר/בַּת מִצְוָה","bar/bat mitzvah","עִבְרִית: בֵּן/בַּת שֶׁל מִצְוָה. הִתְבַּגְּרוּת."
"חַג","holiday, festival","עִבְרִית. זְמַן קָדוֹשׁ."
"פֶּסַח","Passover","עִבְרִית. חַג שִׁחְרוּר הָאָבִיב."
"שָׁבוּעוֹת","Shavuot","עִבְרִית. גִּלּוּי, בִּכּוּרִים."
"סֻכּוֹת","Sukkot","עִבְרִית. סֻכּוֹת הַקָּצִיר."
"רֹאשׁ הַשָּׁנָה","Rosh Hashanah","עִבְרִית: רֹאשׁ הַשָּׁנָה. שָׁנָה חֲדָשָׁה."
"יוֹם כִּפּוּר","Yom Kippur","עִבְרִית: יוֹם הַכַּפָּרָה."
"חֲנֻכָּה","Chanukah","עִבְרִית. חַג הָאוֹרוֹת."
"פּוּרִים","Purim","עִבְרִית. גּוֹרָלוֹת, חֲגִיגַת הִשָּׂרְדוּת."
"לְבָרֵךְ","to bless","מָקוֹר עִבְרִי. בְּרָכָה הִיא תְּחוּם הָעִבְרִית."
"לְקַלֵּל","to curse","מָקוֹר עִבְרִי. גַּם הֵפֶךְ הַבְּרָכָה."
"לִסְלֹחַ","to forgive","מָקוֹר עִבְרִי. פְּעֻלָּה מוּסָרִית."
"לָשׁוּב / לַחֲזֹר בִּתְשׁוּבָה","to repent","עִבְרִית. לָשׁוּב, לַחֲזֹר."
"חֵטְא / עֲבֵרָה","sin, transgression","עִבְרִית. קַטֵגוֹרִיּוֹת מוּסָרִיּוֹת."
"זְכוּת / מִצְוָה","merit, good deed","עִבְרִית. קַטֵגוֹרִיּוֹת מוּסָרִיּוֹת חִיּוּבִיּוֹת."
"מַלְאָךְ","angel","עִבְרִית. שָׁלִיחַ רוּחָנִי."
"שֵׁד","demon, evil spirit","עִבְרִית. יְצוּר רוּחָנִי שְׁלִילִי."
"שָׁמַיִם","heaven","עִבְרִית. הָעוֹלָם שֶׁלְּמַעְלָה."
"אֶרֶץ","earth (world)","עִבְרִית. הָעוֹלָם כְּמֻשָּׂג (שׁוֹנֶה מֵאַכִּי, אֲדָמָה פִיזִית)."
"עוֹלָם","world","עִבְרִית. כְּלַל הַמְּצִיאוּת."
"בְּרִיאָה","creation","עִבְרִית. מַעֲשֵׂה הַבְּרִיאָה הַקוֹסְמִית."
"בּוֹרֵא","Creator","עִבְרִית. הָאֶחָד שֶׁבּוֹרֵא."
"בְּרִית","covenant","עִבְרִית. הֶסְכֵּם מְחַיֵּב."
"הַבְטָחָה","promise","עִבְרִית. הִתְחַיְּבוּת מֻפְשֶׁטֶת."
"סִפּוּר / אַאדִיזוֹכָאן","story, tale","עִבְרִית סִפּוּר לְסִפּוּר מֻפְשָׁט; אַלְגוֹנְקְוִינִי אַאדִיזוֹכָאן לְסִפּוּר-לִמּוּד מָסָרְתִּי."
"שִׁיר","song (as concept)","עִבְרִית שִׁיר לְשִׁיר כְּאָמָּנוּת; נַאגַאמוֹוִין לְשִׁיר כְּבִצּוּעַ."
"רִקּוּד / נִימִי","dance","עִבְרִית רִקּוּד לְרִקּוּד כְּמֻשָּׂג; אַלְגוֹנְקְוִינִי נִימִי לְמַעֲשֵׂה הָרִקּוּד."
"טֶוֶוהִיגַן־נַאגַאמוֹוִין","drum song","הִיבְּרִידִי: תֹּף אַלְגוֹנְקְוִינִי + שֵׁם-שִׁיר. מוּסִיקָה טִקְסִית."
"גִיוִיטָאשִׁימוֹ","round dance","אַלְגוֹנְקְוִינִי. רִקּוּד מַעְגָּל, רִקּוּד חֶבְרָתִי."
"זְ׳ינְגְלֵא־נִימִי","jingle dress dance","הִיבְּרִידִי: 'ג׳ינְגֵל' מִמָּקוֹר אַנְגְלִי + רִקּוּד אַלְגוֹנְקְוִינִי. מֻנָּח פָּאוּ-וָאוּ מוֹדֶרְנִי."
"מַאשְׁקוֹסִי־נִימִי","grass dance","אַלְגוֹנְקְוִינִי. סִגְנוֹן רַקְדָן-עֵשֶׂב."
